account,date,posting_date,description,amount,currency,balance
DEMO-001,2025-03-01,2025-03-01,Opening credit,2400.00,AUD,2400.00
DEMO-001,2025-03-03,2025-03-04,North Quay Market,-42.80,AUD,2357.20
DEMO-001,2025-03-03,2025-03-04,North Quay Market,-42.80,AUD,2314.40
DEMO-001,2025-03-04,2025-03-04,Transfer to reserve,-500.00,AUD,1814.40
DEMO-002,2025-03-04,2025-03-04,Transfer from current,500.00,AUD,500.00
DEMO-001,2025-03-05,2025-03-06,Cloud Books ONLINE,-28.50,AUD,1785.90
DEMO-001,2025-03-06,2025-03-06,ATM cash withdrawal,-100.00,AUD,1685.90
DEMO-001,2025-03-07,2025-03-08,Cloud Books refund,28.50,AUD,1714.40
DEMO-001,2025-03-08,2025-03-08,Harbour Cafe OCR review,-180.00,AUD,1696.40
DEMO-003,2025-03-08,2025-03-08,Overseas bookshop,-12.30,USD,87.70
