account,date,description,amount,currency
0001,2025-01-01,ACME CLUB,-10.00,AUD
0001,2025-01-08,  Acme club  ,-10.00,AUD
0001,2025-01-15,ACME CLUB,-10.00,AUD
0001,2025-01-02,Synthetic Cafe,-4.00,AUD
0001,2025-01-02,Synthetic Cafe,-4.00,AUD
0001,2025-01-09,Synthetic Cafe,-4.00,AUD
0001,2025-01-03,ATM Synthetic Terminal,-50.00,AUD
0001,2025-01-04,Synthetic Store REFUND,3.00,AUD
0001,2025-01-05,Synthetic REVERSAL,2.00,AUD
0001,2025-01-06,Synthetic Payroll,100.00,AUD
0001,2025-01-06,Synthetic Pending,-7.00,AUD
0001,2025-01-06,Synthetic Rejected,-8.00,AUD
0001,2025-01-06,Synthetic Deferred,9.00,AUD
0001,2025-01-07,Synthetic Transfer Out,-20.00,AUD
0002,2025-01-07,Synthetic Transfer In,20.00,AUD
0002,2025-01-01,ACME CLUB,-10.00,AUD
0001,2025-01-10,Synthetic REFUND charged back,-5.00,AUD
0001,2025-01-01,ACME CLUB,-12.00,USD
0001,2025-01-08,ACME CLUB,-12.00,USD
0001,2025-01-15,ACME CLUB,-12.00,USD
