"workspace_revision","id","version","account","date","posting_date","description","amount","currency","balance","anchor","review","duplicate_candidates","transfer_peer","merchant"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:2","uint:2","text:000042","date:2024-02-29","null","text:=SUM(A1)","decimal:-123456789012345.12345678","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":2,""column"":""amount""}","text:accepted","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:3","uint:2","text:000042","date:2024-02-29","null","text:  +1","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":3,""column"":""amount""}","text:rejected","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:4","uint:2","text:000042","date:2024-02-29","null","text:@cmd","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":4,""column"":""amount""}","text:deferred","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:5","uint:1","text:000042","date:2024-02-29","null","text:＝１","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":5,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:6","uint:1","text:000042","date:2024-02-29","null","text:Line one
""Line two"", quoted","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":6,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:7","uint:1","text:000042","date:2024-02-29","null","text:null","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":7,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:8","uint:1","text:000042","date:2024-02-29","null","text:Synthetic optional fields remain missing","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":8,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:9","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 7","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":9,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:10","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 8","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":10,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:11","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 9","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":11,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:12","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 10","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":12,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:13","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 11","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":13,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:14","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 12","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":14,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:15","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 13","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":15,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:16","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 14","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":16,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:17","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 15","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":17,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:18","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 16","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":18,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:19","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 17","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":19,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:20","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 18","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":20,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:21","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 19","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":21,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:22","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 20","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":22,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:23","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 21","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":23,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:24","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 22","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":24,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:25","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 23","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":25,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:26","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 24","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":26,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:27","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 25","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":27,""column"":""amount""}","text:pending","json:[]","null","null"
"uint:4","text:32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d:28","uint:1","text:000042","date:2024-02-29","null","text:Synthetic payment 26","decimal:-0.10000001","text:AUD","null","json:{""kind"":""cell"",""evidence_id"":""32373fa159959ea7844c841a9c027144eeabc1d15827732e98ec6930369fc78d"",""sheet"":""CSV"",""row"":28,""column"":""amount""}","text:pending","json:[]","null","null"
